"filename", "language", "JSON", "JSON with Comments", "Markdown", "JavaScript", "TypeScript", "SCSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\Dialogs\create-issue\create-issue.component.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 9, 37
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\employee-project-detail.component.html", "HTML", 0, 0, 0, 0, 0, 0, 103, 0, 3, 13, 119
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\employee-project-detail.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\employee-project-detail.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-project-detail\employee-project-detail.component.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 3, 12, 46
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd-list\board-dnd-list.component.html", "HTML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd-list\board-dnd-list.component.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd-list\board-dnd-list.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd-list\board-dnd-list.component.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 3, 39
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd\board-dnd.component.html", "HTML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd\board-dnd.component.scss", "SCSS", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd\board-dnd.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\board-dnd\board-dnd.component.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\employee-scrum-board.component.html", "HTML", 0, 0, 0, 0, 0, 0, 23, 0, 63, 11, 97
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\employee-scrum-board.component.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 0, 54, 13, 77
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\employee-scrum-board.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\employee-scrum-board.component.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 16, 11, 39
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\interface\issue-status.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\interface\lane.ts", "TypeScript", 0, 0, 0, 0, 74, 0, 0, 0, 0, 4, 78
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\issue-card\issue-card.component.html", "HTML", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\issue-card\issue-card.component.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\issue-card\issue-card.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\issue-card\issue-card.component.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\simple-div\simple-div.component.html", "HTML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\simple-div\simple-div.component.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\simple-div\simple-div.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee-scrum-board\simple-div\simple-div.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\employee\employee.module.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dashboard\dashboard.component.html", "HTML", 0, 0, 0, 0, 0, 0, 43, 0, 4, 8, 55
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dashboard\dashboard.component.scss", "SCSS", 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dashboard\dashboard.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 0, 5, 12, 78
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\add-project\add-project.component.html", "HTML", 0, 0, 0, 0, 0, 0, 72, 0, 0, 5, 77
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\add-project\add-project.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\add-project\add-project.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\add-project\add-project.component.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 0, 0, 7, 68
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\create-task\create-task.component.html", "HTML", 0, 0, 0, 0, 0, 0, 126, 0, 0, 8, 134
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\create-task\create-task.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\create-task\create-task.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\create-task\create-task.component.ts", "TypeScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 7, 77
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\show-employees\show-employees.component.html", "HTML", 0, 0, 0, 0, 0, 0, 74, 0, 1, 3, 78
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\show-employees\show-employees.component.scss", "SCSS", 0, 0, 0, 0, 0, 115, 0, 0, 0, 17, 132
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\show-employees\show-employees.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\show-employees\show-employees.component.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-project-detail\manager-project-detail.component.html", "HTML", 0, 0, 0, 0, 0, 0, 106, 0, 7, 9, 122
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-project-detail\manager-project-detail.component.scss", "SCSS", 0, 0, 0, 0, 0, 45, 0, 0, 1, 10, 56
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-project-detail\manager-project-detail.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-project-detail\manager-project-detail.component.ts", "TypeScript", 0, 0, 0, 0, 67, 0, 0, 0, 14, 13, 94
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-task-detail\manager-task-detail.component.html", "HTML", 0, 0, 0, 0, 0, 0, 118, 0, 2, 11, 131
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-task-detail\manager-task-detail.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-task-detail\manager-task-detail.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-task-detail\manager-task-detail.component.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager.module.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\services\manager.service.spec.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\services\manager.service.ts", "TypeScript", 0, 0, 0, 0, 221, 0, 0, 0, 6, 33, 260
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\admin\admin.component.html", "HTML", 0, 0, 0, 0, 0, 0, 103, 0, 1, 8, 112
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\admin\admin.component.scss", "SCSS", 0, 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\admin\admin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\admin\admin.component.ts", "TypeScript", 0, 0, 0, 0, 138, 0, 0, 0, 9, 16, 163
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\confirm-delete\confirm-delete.component.html", "HTML", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\confirm-delete\confirm-delete.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\confirm-delete\confirm-delete.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\confirm-delete\confirm-delete.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\edit-profile\edit-profile.component.html", "HTML", 0, 0, 0, 0, 0, 0, 42, 0, 0, 11, 53
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\edit-profile\edit-profile.component.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\edit-profile\edit-profile.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\dialogs\edit-profile\edit-profile.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\interfaces\issue.interface.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\interfaces\pagination.interface.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\interfaces\project.interface.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\interfaces\task.interface.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 5, 35
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\interfaces\user.interface.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\loading-spinner\loading-spinner.component.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\loading-spinner\loading-spinner.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\loading-spinner\loading-spinner.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\loading-spinner\loading-spinner.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\material\material.module.ts", "TypeScript", 0, 0, 0, 0, 59, 0, 0, 0, 1, 5, 65
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\notifcation-menu\notifcation-menu.component.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\notifcation-menu\notifcation-menu.component.scss", "SCSS", 0, 0, 0, 0, 0, 41, 0, 0, 0, 7, 48
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\notifcation-menu\notifcation-menu.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\notifcation-menu\notifcation-menu.component.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\pie-chart\pie-chart.component.html", "HTML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\pie-chart\pie-chart.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\pie-chart\pie-chart.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\pie-chart\pie-chart.component.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\progress-bar\progress-bar.component.html", "HTML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\progress-bar\progress-bar.component.scss", "SCSS", 0, 0, 0, 0, 0, 50, 0, 0, 2, 8, 60
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\progress-bar\progress-bar.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
