"filename", "language", "JSON", "SCSS", "HTML", "XML", "TypeScript", "comment", "blank", "total"
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\show-employees\show-employees.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 6, 26
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\dialogs\show-employees\show-employees.component.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 4, 27
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-project-detail\manager-project-detail.component.html", "HTML", 0, 0, 28, 0, 0, 3, 1, 32
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-project-detail\manager-project-detail.component.scss", "SCSS", 0, 35, 0, 0, 0, 1, 7, 43
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager-project-detail\manager-project-detail.component.ts", "TypeScript", 0, 0, 0, 0, 17, 14, 6, 37
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\manager.module.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\manager\services\manager.service.ts", "TypeScript", 0, 0, 0, 0, 71, 5, 14, 90
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\admin\admin.component.html", "HTML", 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\admin\admin.component.ts", "TypeScript", 0, 0, 0, 0, 21, 3, 3, 27
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\interfaces\issue.interface.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 3, 18
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-client\src\app\shared\interfaces\pagination.interface.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 1, 6
