"filename", "language", "Java", "XML", "Properties", "Batch", "comment", "blank", "total"
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\dto\UpdateTodoDTO.java", "Java", 15, 0, 0, 0, 0, 4, 19
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\dto\UserRegisterDTO.java", "Java", 16, 0, 0, 0, 0, 3, 19
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\entity\AppUser.java", "Java", 57, 0, 0, 0, 0, 7, 64
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\entity\Issue.java", "Java", 41, 0, 0, 0, 0, 5, 46
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\entity\IssueComment.java", "Java", 38, 0, 0, 0, 0, 9, 47
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\entity\Project.java", "Java", 53, 0, 0, 0, 1, 6, 60
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\entity\Task.java", "Java", 47, 0, 0, 0, 0, 4, 51
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\entity\Todo.java", "Java", 34, 0, 0, 0, 0, 5, 39
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\enums\AdminDecision.java", "Java", 4, 0, 0, 0, 0, 2, 6
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\enums\IssueStatus.java", "Java", 4, 0, 0, 0, 0, 2, 6
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\enums\ProjectStatus.java", "Java", 4, 0, 0, 0, 0, 2, 6
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\enums\TaskPriority.java", "Java", 4, 0, 0, 0, 0, 2, 6
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\enums\TaskStatus.java", "Java", 4, 0, 0, 0, 0, 2, 6
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\enums\TodoStatus.java", "Java", 4, 0, 0, 0, 0, 2, 6
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\enums\UserRole.java", "Java", 4, 0, 0, 0, 0, 2, 6
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\model\enums\UserStatus.java", "Java", 4, 0, 0, 0, 0, 2, 6
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\repository\AppUserRepository.java", "Java", 17, 0, 0, 0, 0, 8, 25
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\repository\IssueCommentRepository.java", "Java", 7, 0, 0, 0, 0, 4, 11
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\repository\IssueRepository.java", "Java", 7, 0, 0, 0, 0, 4, 11
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\repository\ProjectRepository.java", "Java", 8, 0, 0, 0, 0, 4, 12
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\repository\TaskRepository.java", "Java", 8, 0, 0, 0, 0, 5, 13
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\repository\TodoRepository.java", "Java", 8, 0, 0, 0, 0, 5, 13
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\service\AdminService.java", "Java", 60, 0, 0, 0, 2, 13, 75
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\service\AppUserService.java", "Java", 54, 0, 0, 0, 1, 16, 71
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\service\IssueService.java", "Java", 68, 0, 0, 0, 0, 11, 79
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\service\ManagerService.java", "Java", 133, 0, 0, 0, 3, 27, 163
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\service\MyAppUserDetails.java", "Java", 53, 0, 0, 0, 0, 13, 66
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\service\MyAppUserDetailsService.java", "Java", 30, 0, 0, 0, 0, 7, 37
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\service\ProjectService.java", "Java", 63, 0, 0, 0, 0, 17, 80
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\service\TaskService.java", "Java", 51, 0, 0, 0, 1, 13, 65
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\service\TodoService.java", "Java", 51, 0, 0, 0, 0, 12, 63
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\utility\JwtTokenUtil.java", "Java", 64, 0, 0, 0, 3, 17, 84
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\main\java\com\example\spm\utility\SeedClass.java", "Java", 19, 0, 0, 0, 38, 8, 65
"c:\Users\SavyaSachiVijayavith\personal\spm\spm-server\src\test\java\com\example\spm\SoftwareProjectManagementApplicationTests.java", "Java", 9, 0, 0, 0, 0, 5, 14
"Total", "-", 2075, 96, 2, 102, 172, 503, 2950
